Time,Frame,Person_ID,Event,Type
0.04,1,2,ENTRY,initial
0.04,1,3,EXIT,initial
0.04,1,4,ENTRY,initial
0.04,1,7,EXIT,initial
0.04,1,8,EXIT,initial
0.04,1,9,EXIT,initial
0.04,1,10,ENTRY,initial
0.04,1,11,EXIT,initial
0.04,1,12,EXIT,initial
0.04,1,13,EXIT,initial
0.04,1,14,EXIT,initial
0.04,1,15,EXIT,initial
0.04,1,16,EXIT,initial
0.04,1,17,EXIT,initial
0.04,1,18,EXIT,initial
0.04,1,19,EXIT,initial
0.04,1,20,ENTRY,initial
0.04,1,21,EXIT,initial
0.04,1,22,EXIT,initial
0.04,1,23,EXIT,initial
0.04,1,24,EXIT,initial
0.12,3,26,EXIT,initial
0.12,3,27,EXIT,initial
0.12,3,22,EXIT,initial
0.28,7,31,ENTRY,initial
0.28,7,32,EXIT,initial
0.28,7,21,EXIT,initial
0.28,7,26,EXIT,initial
0.36,9,27,EXIT,initial
0.40,10,24,EXIT,initial
0.48,12,22,EXIT,initial
0.52,13,34,EXIT,initial
0.56,14,35,EXIT,initial
0.56,14,36,EXIT,initial
0.60,15,14,EXIT,initial
0.60,15,34,EXIT,initial
0.68,17,20,ENTRY,initial
0.72,18,11,EXIT,initial
0.72,18,27,EXIT,initial
0.76,19,18,EXIT,initial
0.76,19,22,EXIT,initial
0.84,21,26,EXIT,initial
0.96,24,14,EXIT,initial
1.04,26,11,EXIT,initial
1.08,27,36,EXIT,initial
1.08,27,23,EXIT,initial
1.08,27,27,EXIT,initial
1.08,27,22,EXIT,initial
1.12,28,41,EXIT,initial
1.32,33,27,EXIT,initial
1.36,34,15,EXIT,initial
1.36,34,18,EXIT,initial
1.36,34,23,EXIT,initial
1.40,35,14,EXIT,initial
1.48,37,26,EXIT,initial
1.52,38,41,EXIT,initial
1.52,38,22,EXIT,initial
1.52,38,27,EXIT,initial
1.60,40,43,EXIT,initial
1.60,40,23,EXIT,initial
1.64,41,35,EXIT,initial
1.64,41,8,EXIT,initial
1.64,41,18,EXIT,initial
1.64,41,34,EXIT,initial
1.68,42,3,ENTRY,crossed
1.68,42,26,EXIT,initial
1.72,43,14,EXIT,initial
1.76,44,2,EXIT,crossed
1.76,44,44,ENTRY,initial
1.76,44,8,EXIT,initial
1.80,45,45,EXIT,initial
1.80,45,41,EXIT,initial
1.80,45,34,EXIT,initial
1.80,45,20,ENTRY,initial
1.80,45,26,EXIT,initial
1.88,47,8,EXIT,initial
1.92,48,36,EXIT,initial
1.92,48,23,EXIT,initial
1.92,48,20,ENTRY,initial
1.96,49,11,EXIT,initial
1.96,49,14,EXIT,initial
1.96,49,26,EXIT,initial
2.04,51,24,EXIT,initial
2.04,51,11,EXIT,initial
2.08,52,27,EXIT,initial
2.12,53,35,EXIT,initial
2.16,54,11,EXIT,initial
2.24,56,41,EXIT,initial
2.24,56,3,ENTRY,initial
2.32,58,21,EXIT,initial
2.32,58,8,EXIT,initial
2.36,59,48,EXIT,initial
2.36,59,23,EXIT,initial
2.36,59,11,EXIT,initial
2.36,59,41,EXIT,initial
2.40,60,18,EXIT,initial
2.40,60,14,EXIT,initial
2.48,62,43,EXIT,initial
2.48,62,36,EXIT,initial
2.48,62,23,EXIT,initial
2.56,64,31,EXIT,crossed
2.56,64,41,EXIT,initial
2.64,66,49,EXIT,initial
2.76,69,41,EXIT,initial
2.80,70,51,ENTRY,initial
2.80,70,8,EXIT,initial
2.80,70,3,ENTRY,initial
2.84,71,52,EXIT,initial
2.88,72,18,EXIT,initial
2.88,72,21,EXIT,initial
3.00,75,23,EXIT,initial
3.00,75,52,EXIT,initial
3.08,77,54,ENTRY,initial
3.08,77,17,EXIT,initial
3.08,77,48,EXIT,initial
3.12,78,49,EXIT,initial
3.12,78,36,EXIT,initial
3.12,78,41,EXIT,initial
3.16,79,56,EXIT,initial
3.20,80,1,ENTRY,initial
3.20,80,17,EXIT,initial
3.32,83,3,ENTRY,initial
3.32,83,1,ENTRY,initial
3.32,83,20,ENTRY,initial
3.36,84,57,EXIT,initial
3.36,84,35,EXIT,initial
3.40,85,18,EXIT,initial
3.40,85,8,EXIT,initial
3.40,85,36,EXIT,initial
3.44,86,41,EXIT,initial
3.44,86,52,EXIT,initial
3.44,86,3,ENTRY,initial
3.52,88,18,EXIT,initial
3.52,88,52,EXIT,initial
3.60,90,49,EXIT,initial
3.64,91,20,ENTRY,initial
3.68,92,15,ENTRY,crossed
3.68,92,17,EXIT,initial
3.68,92,48,EXIT,initial
3.68,92,36,EXIT,initial
3.76,94,23,EXIT,initial
3.76,94,22,EXIT,initial
3.84,96,35,EXIT,initial
3.92,98,49,EXIT,initial
3.92,98,20,ENTRY,initial
3.92,98,5,ENTRY,initial
3.92,98,50,ENTRY,initial
3.96,99,17,EXIT,initial
3.96,99,48,EXIT,initial
3.96,99,36,EXIT,initial
4.04,101,50,ENTRY,initial
4.12,103,36,EXIT,initial
4.16,104,52,EXIT,initial
4.24,106,17,EXIT,initial
4.32,108,56,EXIT,initial
4.32,108,36,EXIT,initial
4.40,110,23,EXIT,initial
4.44,111,4,EXIT,crossed
4.48,112,17,EXIT,initial
4.52,113,56,EXIT,initial
4.56,114,3,ENTRY,initial
4.80,120,27,EXIT,initial
4.84,121,56,EXIT,initial
4.84,121,3,ENTRY,initial
4.88,122,49,EXIT,initial
4.96,124,36,EXIT,initial
4.96,124,3,ENTRY,initial
5.00,125,63,EXIT,initial
5.00,125,23,EXIT,initial
5.04,126,3,ENTRY,initial
5.08,127,52,EXIT,initial
5.12,128,64,EXIT,initial
5.20,130,52,EXIT,initial
5.24,131,19,ENTRY,crossed
5.36,134,41,EXIT,initial
5.36,134,23,EXIT,initial
5.56,139,36,EXIT,initial
5.56,139,41,EXIT,initial
5.64,141,41,EXIT,initial
5.72,143,35,ENTRY,crossed
5.72,143,52,EXIT,initial
5.72,143,41,EXIT,initial
5.76,144,65,EXIT,initial
5.92,148,23,EXIT,initial
6.20,155,36,EXIT,initial
6.20,155,52,EXIT,initial
6.28,157,34,EXIT,initial
6.40,160,44,EXIT,crossed
6.44,161,50,ENTRY,initial
6.52,163,66,ENTRY,initial
6.72,168,36,EXIT,initial
6.76,169,26,ENTRY,crossed
6.80,170,51,EXIT,crossed
7.00,175,23,EXIT,initial
7.08,177,27,ENTRY,crossed
7.08,177,36,EXIT,initial
7.36,184,34,EXIT,initial
7.36,184,66,ENTRY,initial
7.40,185,50,ENTRY,initial
7.48,187,23,EXIT,initial
7.64,191,23,EXIT,initial
7.68,192,67,ENTRY,initial
7.72,193,34,EXIT,initial
7.76,194,23,EXIT,initial
7.88,197,23,EXIT,initial
7.92,198,54,EXIT,crossed
7.92,198,56,EXIT,initial
7.96,199,36,EXIT,initial
